-20,0,0,0,0.00048125,0.014069,0.077399,0.23071,0.21519,0.17386,0.049714,8.9106E-05,0
-19,0,0,0.00013874,0.0098763,0.050089,0.19454,0.23015,0.20188,0.077416,0.00061387,0,0
-18,0,9.9201E-06,0.0050192,0.036354,0.1709,0.21006,0.21128,0.12239,0.0029189,0,0,0
-17,0,0.001511,0.020582,0.16502,0.21016,0.19981,0.15663,0.0094676,1.3758E-06,0,0,0
-16,0.00045957,0.012045,0.10766,0.23279,0.21117,0.16829,0.023093,7.1161E-06,0,0,0,0
-15,0.0074631,0.068244,0.20431,0.22696,0.19436,0.049325,0.00013392,0,0,0,0,7.0732E-05
-14,0.044754,0.19106,0.21032,0.20815,0.082119,0.00079984,0,0,0,0,0,0.0025154
-13,0.17817,0.21268,0.20533,0.12208,0.0036533,0,0,0,0,0,0.00081606,0.0215
-12,0.21901,0.21177,0.15889,0.012059,0,0,0,0,0,0.00019916,0.011213,0.13052
-11,0.21529,0.18337,0.029245,3.0886E-05,0,0,0,0,7.1407E-06,0.0054552,0.092248,0.19933
-10,0.19467,0.058333,0.00021969,0,0,0,0,0,0.0020166,0.06052,0.20538,0.20591
-9,0.088464,0.0012729,0,0,0,0,0,0.00042954,0.026807,0.18775,0.21882,0.20456
-8,0.0056606,3.8988E-07,0,0,0,0,0.00015286,0.013247,0.14152,0.21387,0.21725,0.1373
-7,6.9973E-06,0,0,0,0,9.6061E-06,0.0056098,0.11352,0.19649,0.20958,0.17506,0.018836
-6,0,0,0,0,0,0.001689,0.078484,0.21329,0.20339,0.1846,0.041313,6.8505E-05
-5,0,0,0,0,0.00043476,0.038091,0.19928,0.22003,0.20202,0.074547,0.00070002,0
-4,0,0,0,0.0001719,0.017829,0.15919,0.21581,0.21645,0.1217,0.0029833,0,0
-3,0,0,7.1301E-07,0.0071252,0.13448,0.20625,0.21322,0.15909,0.010356,6.2381E-07,0,0
-2,0,0,0.0016644,0.094323,0.21908,0.21493,0.18349,0.028629,3.9912E-05,0,0,0
-1,0,0.00055626,0.050287,0.20309,0.22111,0.21203,0.057584,0.00023757,0,0,0,0
0,5.5295E-05,0.024782,0.18412,0.21115,0.21477,0.1073,0.0016825,0,0,0,0,0
1,0.009379,0.17006,0.21701,0.21002,0.14347,0.0060086,1.1248E-06,0,0,0,0,8.7719E-06
2,0.11286,0.23248,0.22482,0.17206,0.017434,1.4454E-05,0,0,0,0,0,0.0025876
3,0.20142,0.23022,0.21769,0.041668,0.00023533,0,0,0,0,0,0.0004768,0.068958
4,0.20794,0.21855,0.083512,0.0011771,0,0,0,0,0,9.7774E-05,0.03886,0.1923
5,0.20698,0.12165,0.0043888,3.1746E-06,0,0,0,0,9.6136E-07,0.01553,0.19752,0.21517
6,0.156,0.01437,5.6311E-05,0,0,0,0,0,0.0036183,0.13696,0.23549,0.22191
7,0.030173,0.00035487,0,0,0,0,0,0.00095211,0.091131,0.20401,0.23148,0.19863
8,0.0013229,0,0,0,0,0,0.00015694,0.063459,0.19566,0.21102,0.21226,0.056681
9,2.9839E-05,0,0,0,0,6.231E-06,0.026511,0.19688,0.21131,0.21093,0.095324,0.0047144
10,0,0,0,0,0,0.00984,0.15087,0.22338,0.21488,0.13744,0.012932,0.00021928
11,0,0,0,0,0.0027878,0.11647,0.20036,0.21719,0.17134,0.024408,0.00066905,0
12,0,0,0,0.00054112,0.085947,0.2013,0.20954,0.1894,0.045174,0.0025323,0,0
13,0,0,8.2031E-05,0.044134,0.19173,0.21558,0.20473,0.073939,0.0056361,4.9112E-05,0,0
14,0,5.056E-08,0.01925,0.1525,0.2104,0.21557,0.11355,0.011624,0.00021365,0,0,0
15,0,0.0085831,0.14086,0.19504,0.20592,0.14723,0.021196,0.00090459,0,0,0,0
16,0.001647,0.10906,0.20943,0.20465,0.1663,0.035807,0.002929,0,0,0,0,0
17,0.059786,0.19569,0.2191,0.19515,0.057003,0.00673,3.2414E-05,0,0,0,0,0.00033203
18,0.16795,0.2093,0.21217,0.087244,0.012198,0.00039089,0,0,0,0,6.1013E-05,0.036892
19,0.19969,0.20656,0.12246,0.018218,0.0011902,0,0,0,0,1.4826E-06,0.019029,0.16166
20,0.21204,0.15108,0.029024,0.0044981,1.8683E-05,0,0,0,0,0.00684,0.13436,0.20586
